Time String,Event String,Event data String
13-03-2025 16:02:55,Start Shutdown Purge,6.930348
13-03-2025 16:02:55,Start Shutdown Purge,7.031737
13-03-2025 16:02:55,Start Shutdown Purge,7.131564
13-03-2025 16:02:55,Start Shutdown Purge,7.233303
13-03-2025 16:02:55,Start Shutdown Purge,7.334206
13-03-2025 16:02:55,Start Shutdown Purge,7.433964
13-03-2025 16:02:55,Start Shutdown Purge,7.535121
13-03-2025 16:02:55,Start Shutdown Purge,7.636067
13-03-2025 16:02:55,Start Shutdown Purge,7.735352
13-03-2025 16:02:55,Start Shutdown Purge,7.835582
13-03-2025 16:02:55,Start Shutdown Purge,7.936190
13-03-2025 16:02:55,Start Shutdown Purge,8.036000
13-03-2025 16:02:55,Start Shutdown Purge,8.135691
13-03-2025 16:02:55,Start Shutdown Purge,8.236431
13-03-2025 16:02:55,Start Shutdown Purge,8.337707
13-03-2025 16:02:55,Start Shutdown Purge,8.439314
13-03-2025 16:02:55,Start Shutdown Purge,8.540728
13-03-2025 16:02:55,Start Shutdown Purge,8.642103
13-03-2025 16:02:55,Start Shutdown Purge,8.741917
13-03-2025 16:02:55,Start Shutdown Purge,8.842528
13-03-2025 16:02:55,Start Shutdown Purge,8.942694
13-03-2025 16:02:55,Start Shutdown Purge,9.042556
13-03-2025 16:02:55,Start Shutdown Purge,9.143263
13-03-2025 16:02:55,Start Shutdown Purge,9.243622
13-03-2025 16:02:55,Start Shutdown Purge,9.343951
13-03-2025 16:02:55,Start Shutdown Purge,9.443545
13-03-2025 16:02:55,Start Shutdown Purge,9.544491
13-03-2025 16:02:55,Start Shutdown Purge,9.644410
13-03-2025 16:02:55,Start Shutdown Purge,9.745688
13-03-2025 16:02:55,Start Shutdown Purge,9.846146
13-03-2025 16:02:55,Start Shutdown Purge,9.946419
13-03-2025 16:03:05,Boiler Initialized,0
13-03-2025 16:04:16,Boiler Ready,0
13-03-2025 16:04:17,Start Pre-Purge,0.000000
13-03-2025 16:04:17,Start Pre-Purge,0.099689
13-03-2025 16:04:17,Start Pre-Purge,0.201432
13-03-2025 16:04:17,Start Pre-Purge,0.302151
13-03-2025 16:04:17,Start Pre-Purge,0.403504
13-03-2025 16:04:17,Start Pre-Purge,0.503257
